  0.0000  -21.0823  -21.0562  -20.5904  -20.5899  -20.5768  -20.5676  -20.5139  -20.5117  -18.4150  -18.0442  -18.0040  -18.0006  -17.8820  -17.8725  -17.5982  -17.5363  -17.5361  -17.5226  -17.5039  -17.4305  -17.3519  -17.3029  -17.2771  -17.2291  -17.0302  -17.0243  -16.9711  -16.9507  -16.8558  -16.8137  -16.7342  -16.7108  -15.9643  -15.9508  -15.9459  -15.9402  -15.0591  -15.0087  -14.9298  -14.8663  -14.8574  -14.8267  -14.8265  -14.8154   -7.1562   -7.0758   -6.5452   -6.5113   -6.3838   -6.3826   -6.2277   -6.1231   -6.0719   -6.0672   -6.0404   -5.9588   -5.9566   -5.8347   -5.8299   -5.7743   -5.7507   -5.6702   -5.6652   -5.5625   -5.5168   -5.4806   -5.3370   -5.1439   -5.0453   -4.9007   -4.8606   -4.8079   -4.7766   -4.7358   -4.7319   -4.6516   -4.6361   -4.5640   -4.5349   -4.5244   -4.5206   -4.4529   -4.4311   -4.2673   -4.2594   -4.1996   -4.1519   -4.0623   -4.0358   -4.0007   -3.9623   -3.9338   -3.8589   -3.7095   -3.7079   -3.6237   -3.5117   -3.5074   -3.4616   -3.3543   -3.2892   -3.2818   -3.2192   -3.2121   -3.1173   -3.1155   -3.0927   -3.0716   -3.0676   -2.8480   -2.7918   -2.7632   -2.7327   -2.7116   -2.6953   -2.6470   -2.6275   -2.5876   -2.5838   -2.5450   -2.5240   -2.5148   -2.4845   -2.4593   -2.3489   -2.3028   -2.1778   -2.1676   -2.0523   -2.0124   -2.0026   -1.9849   -1.9605   -1.9269   -1.8708   -1.8655   -1.8476   -1.7467   -1.7309   -1.7152   -1.6752   -1.6507   -1.5940   -1.5796   -1.5010   -1.4944   -1.4713   -1.4026   -1.3260   -1.1905   -1.0775   -1.0454   -0.9866   -0.9439   -0.8097   -0.7976   -0.7949   -0.7667   -0.7524   -0.5793   -0.4106   -0.4063   -0.2789   -0.2669   -0.2620   -0.2207   -0.1945   -0.1881    0.1802    1.1410    1.4926    1.7499    1.7573    1.8142    2.1485    2.2952    2.3328    2.4988    2.7107    2.7874    2.8814    2.8839    3.0714    3.5617    3.7085    3.7557    3.7586    3.7772    4.0019    4.0241    4.0567    4.2279    4.2412    4.2680    4.4370    4.5071    4.6167    4.6226    4.7870    4.9013    4.9295    4.9808    5.3255    5.3401    5.3977    5.5890    5.6173    5.8075    6.0609    6.0897
  0.0160  -21.0823  -21.0562  -20.5903  -20.5899  -20.5768  -20.5676  -20.5139  -20.5117  -18.4146  -18.0456  -18.0050  -18.0006  -17.8795  -17.8721  -17.5983  -17.5366  -17.5363  -17.5241  -17.5061  -17.4280  -17.3506  -17.3041  -17.2763  -17.2279  -17.0308  -17.0246  -16.9711  -16.9506  -16.8564  -16.8133  -16.7343  -16.7108  -15.9643  -15.9508  -15.9459  -15.9402  -15.0590  -15.0088  -14.9297  -14.8664  -14.8573  -14.8267  -14.8265  -14.8154   -7.1560   -7.0759   -6.5449   -6.5104   -6.3839   -6.3824   -6.2280   -6.1239   -6.0744   -6.0672   -6.0396   -5.9651   -5.9469   -5.8346   -5.8307   -5.7746   -5.7527   -5.6706   -5.6636   -5.5616   -5.5162   -5.4804   -5.3368   -5.1490   -5.0422   -4.9075   -4.8630   -4.8082   -4.7762   -4.7343   -4.7310   -4.6510   -4.6356   -4.5670   -4.5375   -4.5241   -4.5097   -4.4534   -4.4308   -4.2670   -4.2592   -4.1990   -4.1510   -4.0644   -4.0316   -4.0030   -3.9599   -3.9344   -3.8590   -3.7101   -3.7080   -3.6230   -3.5098   -3.5083   -3.4607   -3.3565   -3.2899   -3.2801   -3.2196   -3.2132   -3.1206   -3.1166   -3.0919   -3.0721   -3.0653   -2.8489   -2.7902   -2.7632   -2.7351   -2.7123   -2.6925   -2.6465   -2.6263   -2.5981   -2.5771   -2.5448   -2.5247   -2.5119   -2.4825   -2.4586   -2.3531   -2.2991   -2.1777   -2.1674   -2.0528   -2.0164   -1.9996   -1.9850   -1.9607   -1.9317   -1.8746   -1.8687   -1.8381   -1.7515   -1.7321   -1.7089   -1.6795   -1.6493   -1.6014   -1.5739   -1.5144   -1.4816   -1.4700   -1.4020   -1.3231   -1.1891   -1.0774   -1.0462   -0.9864   -0.9434   -0.8108   -0.7970   -0.7956   -0.7675   -0.7524   -0.5802   -0.4106   -0.4063   -0.2788   -0.2667   -0.2619   -0.2207   -0.1945   -0.1882    0.1827    1.1407    1.4920    1.7503    1.7589    1.8156    2.1367    2.3049    2.3319    2.4966    2.7055    2.7942    2.8831    2.8843    3.0722    3.5619    3.7046    3.7561    3.7584    3.7780    4.0007    4.0234    4.0565    4.2272    4.2450    4.2703    4.4309    4.5114    4.6160    4.6232    4.7867    4.9020    4.9290    4.9800    5.3261    5.3413    5.3998    5.6177    5.6262    5.8870    6.0893    6.1713
  0.0320  -21.0822  -21.0564  -20.5903  -20.5898  -20.5768  -20.5676  -20.5139  -20.5117  -18.4135  -18.0499  -18.0074  -18.0004  -17.8724  -17.8711  -17.5987  -17.5375  -17.5374  -17.5277  -17.5120  -17.4214  -17.3468  -17.3074  -17.2740  -17.2246  -17.0326  -17.0255  -16.9712  -16.9502  -16.8582  -16.8123  -16.7347  -16.7107  -15.9642  -15.9508  -15.9459  -15.9403  -15.0587  -15.0090  -14.9294  -14.8667  -14.8572  -14.8267  -14.8265  -14.8154   -7.1556   -7.0762   -6.5440   -6.5078   -6.3842   -6.3818   -6.2289   -6.1262   -6.0814   -6.0671   -6.0377   -5.9686   -5.9334   -5.8345   -5.8331   -5.7755   -5.7582   -5.6717   -5.6591   -5.5588   -5.5145   -5.4799   -5.3364   -5.1623   -5.0357   -4.9253   -4.8699   -4.8088   -4.7771   -4.7302   -4.7275   -4.6493   -4.6338   -4.5736   -4.5376   -4.5215   -4.4894   -4.4548   -4.4302   -4.2662   -4.2584   -4.1970   -4.1485   -4.0686   -4.0211   -4.0086   -3.9536   -3.9361   -3.8595   -3.7119   -3.7083   -3.6209   -3.5108   -3.5045   -3.4581   -3.3623   -3.2919   -3.2759   -3.2208   -3.2166   -3.1287   -3.1199   -3.0897   -3.0732   -3.0604   -2.8514   -2.7858   -2.7631   -2.7421   -2.7123   -2.6866   -2.6451   -2.6227   -2.6131   -2.5730   -2.5434   -2.5258   -2.5052   -2.4767   -2.4569   -2.3631   -2.2908   -2.1775   -2.1669   -2.0544   -2.0242   -1.9948   -1.9854   -1.9613   -1.9433   -1.8883   -1.8646   -1.8230   -1.7611   -1.7343   -1.6963   -1.6900   -1.6475   -1.6141   -1.5665   -1.5307   -1.4671   -1.4659   -1.4001   -1.3148   -1.1851   -1.0773   -1.0487   -0.9857   -0.9417   -0.8137   -0.7975   -0.7956   -0.7696   -0.7523   -0.5829   -0.4103   -0.4062   -0.2784   -0.2664   -0.2614   -0.2207   -0.1947   -0.1883    0.1903    1.1399    1.4901    1.7515    1.7639    1.8196    2.1080    2.3269    2.3292    2.4906    2.6936    2.8090    2.8808    2.8939    3.0746    3.5626    3.6949    3.7498    3.7645    3.7791    3.9972    4.0218    4.0562    4.2265    4.2544    4.2769    4.4156    4.5215    4.6139    4.6252    4.7860    4.9040    4.9272    4.9775    5.3270    5.3461    5.4058    5.6203    5.7025    5.9684    6.2103    6.3479
  0.0480  -21.0820  -21.0566  -20.5901  -20.5898  -20.5768  -20.5678  -20.5139  -20.5117  -18.4117  -18.0575  -18.0099  -18.0000  -17.8693  -17.8620  -17.5993  -17.5416  -17.5393  -17.5309  -17.5197  -17.4121  -17.3412  -17.3126  -17.2701  -17.2197  -17.0355  -17.0269  -16.9718  -16.9491  -16.8610  -16.8107  -16.7352  -16.7105  -15.9641  -15.9509  -15.9458  -15.9403  -15.0582  -15.0094  -14.9289  -14.8673  -14.8569  -14.8270  -14.8264  -14.8156   -7.1548   -7.0768   -6.5426   -6.5036   -6.3850   -6.3806   -6.2304   -6.1298   -6.0913   -6.0674   -6.0350   -5.9685   -5.9182   -5.8368   -5.8342   -5.7773   -5.7659   -5.6734   -5.6527   -5.5545   -5.5118   -5.4787   -5.3357   -5.1801   -5.0318   -4.9486   -4.8803   -4.8092   -4.7818   -4.7244   -4.7199   -4.6469   -4.6306   -4.5805   -4.5353   -4.5167   -4.4654   -4.4569   -4.4294   -4.2653   -4.2570   -4.1929   -4.1449   -4.0725   -4.0158   -4.0066   -3.9453   -3.9389   -3.8602   -3.7148   -3.7088   -3.6169   -3.5145   -3.4961   -3.4544   -3.3706   -3.2953   -3.2712   -3.2220   -3.2218   -3.1387   -3.1259   -3.0865   -3.0745   -3.0553   -2.8541   -2.7797   -2.7630   -2.7523   -2.7108   -2.6801   -2.6424   -2.6301   -2.6170   -2.5721   -2.5408   -2.5265   -2.4965   -2.4679   -2.4544   -2.3752   -2.2815   -2.1773   -2.1663   -2.0575   -2.0337   -1.9903   -1.9863   -1.9623   -1.9575   -1.9013   -1.8616   -1.8081   -1.7711   -1.7373   -1.7038   -1.6826   -1.6474   -1.6277   -1.5609   -1.5467   -1.4588   -1.4542   -1.3963   -1.3017   -1.1789   -1.0770   -1.0528   -0.9847   -0.9392   -0.8176   -0.8008   -0.7947   -0.7726   -0.7521   -0.5873   -0.4100   -0.4061   -0.2777   -0.2659   -0.2606   -0.2208   -0.1950   -0.1886    0.2029    1.1386    1.4871    1.7532    1.7720    1.8263    2.0715    2.3247    2.3512    2.4835    2.6799    2.8234    2.8770    2.9128    3.0785    3.5634    3.6820    3.7414    3.7712    3.7792    3.9915    4.0199    4.0566    4.2268    4.2677    4.2866    4.3954    4.5324    4.6102    4.6281    4.7829    4.9070    4.9212    4.9731    5.3244    5.3488    5.4049    5.6076    5.6303    5.8451    6.0916    6.1776
  0.0640  -21.0817  -21.0569  -20.5900  -20.5897  -20.5768  -20.5679  -20.5139  -20.5118  -18.4092  -18.0680  -18.0115  -17.9996  -17.8669  -17.8493  -17.6001  -17.5500  -17.5427  -17.5318  -17.5274  -17.4014  -17.3343  -17.3190  -17.2647  -17.2134  -17.0395  -17.0287  -16.9732  -16.9471  -16.8649  -16.8088  -16.7358  -16.7103  -15.9639  -15.9511  -15.9458  -15.9404  -15.0576  -15.0099  -14.9282  -14.8682  -14.8565  -14.8273  -14.8263  -14.8157   -7.1537   -7.0775   -6.5405   -6.4978   -6.3862   -6.3790   -6.2324   -6.1344   -6.1030   -6.0684   -6.0320   -5.9651   -5.9019   -5.8415   -5.8336   -5.7812   -5.7733   -5.6757   -5.6449   -5.5493   -5.5085   -5.4768   -5.3349   -5.2002   -5.0384   -4.9693   -4.8931   -4.8096   -4.7888   -4.7176   -4.7090   -4.6442   -4.6256   -4.5867   -4.5326   -4.5102   -4.4595   -4.4400   -4.4287   -4.2649   -4.2546   -4.1858   -4.1407   -4.0757   -4.0238   -3.9886   -3.9433   -3.9353   -3.8611   -3.7188   -3.7093   -3.6109   -3.5190   -3.4855   -3.4499   -3.3803   -3.3000   -3.2691   -3.2283   -3.2217   -3.1485   -3.1345   -3.0828   -3.0754   -3.0516   -2.8564   -2.7733   -2.7646   -2.7623   -2.7085   -2.6756   -2.6468   -2.6386   -2.6092   -2.5727   -2.5381   -2.5263   -2.4869   -2.4566   -2.4515   -2.3876   -2.2731   -2.1775   -2.1658   -2.0624   -2.0443   -1.9878   -1.9863   -1.9711   -1.9641   -1.9128   -1.8617   -1.7952   -1.7797   -1.7409   -1.7191   -1.6697   -1.6498   -1.6413   -1.5614   -1.5567   -1.4488   -1.4436   -1.3903   -1.2847   -1.1710   -1.0765   -1.0581   -0.9832   -0.9360   -0.8224   -0.8051   -0.7957   -0.7751   -0.7520   -0.5935   -0.4096   -0.4060   -0.2768   -0.2652   -0.2596   -0.2209   -0.1954   -0.1890    0.2202    1.1365    1.4832    1.7547    1.7829    1.8355    2.0323    2.3186    2.3701    2.4794    2.6662    2.8340    2.8719    2.9415    3.0839    3.5635    3.6675    3.7316    3.7768    3.7780    3.9844    4.0190    4.0585    4.2280    4.2838    4.2976    4.3737    4.5427    4.6054    4.6321    4.7798    4.9108    4.9151    4.9673    5.3238    5.3566    5.4178    5.6202    5.6292    5.9233    6.0941    6.2370
  0.0800  -21.0813  -21.0573  -20.5898  -20.5896  -20.5768  -20.5682  -20.5138  -20.5118  -18.4059  -18.0808  -18.0122  -17.9991  -17.8637  -17.8352  -17.6011  -17.5608  -17.5491  -17.5330  -17.5316  -17.3899  -17.3269  -17.3262  -17.2577  -17.2064  -17.0444  -17.0309  -16.9756  -16.9440  -16.8696  -16.8068  -16.7366  -16.7100  -15.9636  -15.9513  -15.9458  -15.9405  -15.0567  -15.0106  -14.9273  -14.8692  -14.8560  -14.8278  -14.8261  -14.8159   -7.1524   -7.0785   -6.5376   -6.4906   -6.3876   -6.3768   -6.2350   -6.1398   -6.1156   -6.0706   -6.0285   -5.9589   -5.8856   -5.8468   -5.8323   -5.7895   -5.7775   -5.6782   -5.6365   -5.5435   -5.5050   -5.4736   -5.3338   -5.2211   -5.0615   -4.9814   -4.9073   -4.8141   -4.7914   -4.7106   -4.6963   -4.6416   -4.6187   -4.5921   -4.5301   -4.5027   -4.4626   -4.4282   -4.4147   -4.2654   -4.2511   -4.1750   -4.1364   -4.0782   -4.0318   -3.9671   -3.9483   -3.9249   -3.8621   -3.7234   -3.7097   -3.6028   -3.5240   -3.4732   -3.4450   -3.3905   -3.3058   -3.2728   -3.2356   -3.2177   -3.1568   -3.1456   -3.0805   -3.0746   -3.0500   -2.8577   -2.7785   -2.7686   -2.7593   -2.7059   -2.6813   -2.6545   -2.6336   -2.5994   -2.5737   -2.5366   -2.5246   -2.4770   -2.4491   -2.4434   -2.3991   -2.2665   -2.1785   -2.1658   -2.0693   -2.0559   -1.9909   -1.9831   -1.9814   -1.9666   -1.9221   -1.8652   -1.7876   -1.7863   -1.7449   -1.7326   -1.6605   -1.6545   -1.6531   -1.5738   -1.5527   -1.4365   -1.4359   -1.3814   -1.2647   -1.1621   -1.0760   -1.0644   -0.9813   -0.9323   -0.8282   -0.8105   -0.7995   -0.7758   -0.7518   -0.6014   -0.4090   -0.4059   -0.2757   -0.2643   -0.2582   -0.2210   -0.1959   -0.1895    0.2420    1.1336    1.4789    1.7552    1.7965    1.8471    1.9933    2.3109    2.3778    2.4828    2.6534    2.8416    2.8655    2.9778    3.0908    3.5618    3.6520    3.7214    3.7755    3.7808    3.9760    4.0199    4.0627    4.2299    4.3019    4.3051    4.3550    4.5513    4.5997    4.6371    4.7763    4.9095    4.9155    4.9602    5.3244    5.3660    5.4510    5.6262    5.6595    5.9882    6.1004    6.2725
  0.0960  -21.0808  -21.0578  -20.5895  -20.5895  -20.5769  -20.5684  -20.5138  -20.5118  -18.4019  -18.0950  -18.0121  -17.9985  -17.8599  -17.8204  -17.6023  -17.5727  -17.5580  -17.5366  -17.5309  -17.3784  -17.3339  -17.3193  -17.2492  -17.1987  -17.0502  -17.0333  -16.9791  -16.9399  -16.8753  -16.8050  -16.7373  -16.7098  -15.9633  -15.9515  -15.9457  -15.9406  -15.0557  -15.0114  -14.9262  -14.8705  -14.8554  -14.8283  -14.8258  -14.8161   -7.1508   -7.0797   -6.5339   -6.4822   -6.3894   -6.3742   -6.2380   -6.1459   -6.1285   -6.0744   -6.0245   -5.9503   -5.8706   -5.8522   -5.8297   -5.7999   -5.7802   -5.6808   -5.6277   -5.5377   -5.5017   -5.4689   -5.3325   -5.2421   -5.0961   -4.9896   -4.9222   -4.8248   -4.7856   -4.7036   -4.6827   -4.6388   -4.6105   -4.5968   -4.5279   -4.4950   -4.4659   -4.4282   -4.3906   -4.2670   -4.2464   -4.1603   -4.1328   -4.0804   -4.0398   -3.9544   -3.9420   -3.9141   -3.8631   -3.7285   -3.7097   -3.5928   -3.5293   -3.4599   -3.4398   -3.4005   -3.3126   -3.2825   -3.2433   -3.2097   -3.1633   -3.1587   -3.0811   -3.0709   -3.0506   -2.8580   -2.7935   -2.7673   -2.7527   -2.7039   -2.6989   -2.6513   -2.6276   -2.5880   -2.5748   -2.5361   -2.5210   -2.4670   -2.4486   -2.4289   -2.4080   -2.2627   -2.1808   -2.1666   -2.0773   -2.0681   -1.9965   -1.9870   -1.9810   -1.9699   -1.9288   -1.8716   -1.7915   -1.7908   -1.7485   -1.7391   -1.6685   -1.6612   -1.6503   -1.5832   -1.5473   -1.4311   -1.4225   -1.3698   -1.2425   -1.1526   -1.0753   -1.0715   -0.9791   -0.9283   -0.8357   -0.8168   -0.8054   -0.7749   -0.7516   -0.6109   -0.4085   -0.4057   -0.2743   -0.2634   -0.2565   -0.2211   -0.1965   -0.1901    0.2680    1.1296    1.4743    1.7531    1.8123    1.8607    1.9573    2.3018    2.3737    2.4930    2.6426    2.8478    2.8581    3.0189    3.0990    3.5569    3.6359    3.7118    3.7725    3.7828    3.9668    4.0228    4.0696    4.2323    4.2978    4.3215    4.3507    4.5576    4.5930    4.6415    4.7724    4.9005    4.9201    4.9519    5.3284    5.3746    5.4281    5.6280    5.8193    5.9106    6.1101    6.2347
  0.1120  -21.0803  -21.0584  -20.5894  -20.5893  -20.5769  -20.5688  -20.5137  -20.5119  -18.3972  -18.1102  -18.0114  -17.9979  -17.8554  -17.8054  -17.6042  -17.5849  -17.5681  -17.5394  -17.5297  -17.3679  -17.3409  -17.3118  -17.2396  -17.1905  -17.0567  -17.0358  -16.9835  -16.9350  -16.8817  -16.8034  -16.7379  -16.7096  -15.9630  -15.9518  -15.9457  -15.9408  -15.0546  -15.0124  -14.9250  -14.8719  -14.8548  -14.8289  -14.8256  -14.8164   -7.1489   -7.0811   -6.5295   -6.4725   -6.3915   -6.3711   -6.2413   -6.1525   -6.1412   -6.0802   -6.0201   -5.9394   -5.8587   -5.8573   -5.8244   -5.8107   -5.7825   -5.6830   -5.6188   -5.5323   -5.4989   -5.4624   -5.3312   -5.2626   -5.1358   -4.9993   -4.9373   -4.8379   -4.7744   -4.6968   -4.6690   -4.6360   -4.6012   -4.6008   -4.5262   -4.4875   -4.4695   -4.4285   -4.3682   -4.2693   -4.2406   -4.1421   -4.1300   -4.0825   -4.0471   -3.9615   -3.9134   -3.9036   -3.8642   -3.7337   -3.7089   -3.5811   -3.5351   -3.4465   -3.4345   -3.4095   -3.3200   -3.2963   -3.2513   -3.1998   -3.1732   -3.1676   -3.0834   -3.0662   -3.0533   -2.8574   -2.8096   -2.7678   -2.7440   -2.7202   -2.7018   -2.6462   -2.6210   -2.5758   -2.5750   -2.5359   -2.5162   -2.4572   -2.4512   -2.4136   -2.4129   -2.2625   -2.1844   -2.1686   -2.0845   -2.0803   -2.0040   -1.9895   -1.9811   -1.9736   -1.9326   -1.8796   -1.8053   -1.7963   -1.7506   -1.7384   -1.6803   -1.6692   -1.6470   -1.5888   -1.5401   -1.4290   -1.4074   -1.3562   -1.2187   -1.1430   -1.0793   -1.0744   -0.9766   -0.9241   -0.8453   -0.8239   -0.8118   -0.7732   -0.7516   -0.6221   -0.4079   -0.4055   -0.2729   -0.2625   -0.2546   -0.2213   -0.1972   -0.1909    0.2980    1.1241    1.4697    1.7457    1.8301    1.8763    1.9275    2.2915    2.3623    2.5028    2.6361    2.8498    2.8543    3.0628    3.1084    3.5471    3.6194    3.7042    3.7695    3.7832    3.9570    4.0277    4.0792    4.2351    4.2744    4.3419    4.3603    4.5619    4.5854    4.6461    4.7668    4.8918    4.9237    4.9420    5.3266    5.3850    5.4520    5.6327    5.6696    5.9005    6.0673    6.2944
  0.1281  -21.0797  -21.0591  -20.5892  -20.5890  -20.5769  -20.5691  -20.5137  -20.5119  -18.3919  -18.1258  -18.0104  -17.9972  -17.8503  -17.7904  -17.6087  -17.5948  -17.5784  -17.5419  -17.5283  -17.3629  -17.3429  -17.3045  -17.2291  -17.1821  -17.0638  -17.0383  -16.9887  -16.9293  -16.8888  -16.8025  -16.7382  -16.7094  -15.9627  -15.9521  -15.9456  -15.9410  -15.0533  -15.0135  -14.9235  -14.8736  -14.8541  -14.8297  -14.8253  -14.8167   -7.1467   -7.0828   -6.5243   -6.4617   -6.3939   -6.3677   -6.2450   -6.1594   -6.1535   -6.0880   -6.0153   -5.9265   -5.8619   -5.8515   -5.8214   -5.8154   -5.7847   -5.6843   -5.6099   -5.5275   -5.4966   -5.4544   -5.3298   -5.2824   -5.1775   -5.0121   -4.9519   -4.8514   -4.7601   -4.6902   -4.6558   -4.6329   -4.6038   -4.5915   -4.5249   -4.4804   -4.4732   -4.4293   -4.3479   -4.2718   -4.2342   -4.1284   -4.1213   -4.0846   -4.0536   -3.9694   -3.8942   -3.8824   -3.8645   -3.7389   -3.7066   -3.5679   -3.5415   -3.4357   -3.4289   -3.4148   -3.3277   -3.3124   -3.2595   -3.1911   -3.1884   -3.1681   -3.0871   -3.0615   -3.0577   -2.8562   -2.8267   -2.7692   -2.7414   -2.7342   -2.7010   -2.6422   -2.6141   -2.5765   -2.5610   -2.5352   -2.5102   -2.4564   -2.4477   -2.4142   -2.3981   -2.2668   -2.1888   -2.1720   -2.0920   -2.0895   -2.0132   -1.9903   -1.9846   -1.9766   -1.9333   -1.8878   -1.8251   -1.8022   -1.7502   -1.7366   -1.6914   -1.6774   -1.6468   -1.5903   -1.5312   -1.4291   -1.3916   -1.3408   -1.1938   -1.1337   -1.0875   -1.0734   -0.9738   -0.9200   -0.8573   -0.8316   -0.8177   -0.7712   -0.7515   -0.6349   -0.4074   -0.4053   -0.2712   -0.2615   -0.2525   -0.2216   -0.1979   -0.1918    0.3314    1.1168    1.4653    1.7306    1.8497    1.8934    1.9070    2.2803    2.3477    2.5058    2.6364    2.8407    2.8622    3.1081    3.1191    3.5316    3.6031    3.6994    3.7673    3.7821    3.9470    4.0342    4.0913    4.2382    4.2459    4.3627    4.3740    4.5639    4.5774    4.6495    4.7608    4.8841    4.9253    4.9329    5.3297    5.3958    5.4606    5.6397    5.7090    5.9135    6.0599    6.2097
  0.1441  -21.0790  -21.0598  -20.5890  -20.5887  -20.5769  -20.5695  -20.5136  -20.5120  -18.3858  -18.1417  -18.0092  -17.9965  -17.8445  -17.7757  -17.6188  -17.5991  -17.5887  -17.5444  -17.5264  -17.3678  -17.3355  -17.2973  -17.2182  -17.1733  -17.0713  -17.0405  -16.9945  -16.9230  -16.8967  -16.8023  -16.7381  -16.7094  -15.9622  -15.9524  -15.9455  -15.9412  -15.0519  -15.0147  -14.9219  -14.8754  -14.8532  -14.8305  -14.8250  -14.8170   -7.1444   -7.0847   -6.5185   -6.4499   -6.3965   -6.3639   -6.2488   -6.1666   -6.1652   -6.0979   -6.0099   -5.9117   -5.8658   -5.8479   -5.8318   -5.8046   -5.7868   -5.6841   -5.6015   -5.5235   -5.4944   -5.4454   -5.3282   -5.3013   -5.2198   -5.0280   -4.9656   -4.8649   -4.7439   -4.6839   -4.6441   -4.6297   -4.6052   -4.5817   -4.5240   -4.4771   -4.4736   -4.4303   -4.3297   -4.2740   -4.2275   -4.1280   -4.0987   -4.0865   -4.0587   -3.9781   -3.8867   -3.8703   -3.8437   -3.7436   -3.7024   -3.5535   -3.5485   -3.4346   -3.4232   -3.4094   -3.3352   -3.3289   -3.2680   -3.2038   -3.1884   -3.1611   -3.0929   -3.0633   -3.0570   -2.8545   -2.8443   -2.7716   -2.7620   -2.7236   -2.7012   -2.6406   -2.6076   -2.5763   -2.5460   -2.5336   -2.5031   -2.4620   -2.4386   -2.4136   -2.3827   -2.2754   -2.1932   -2.1770   -2.1028   -2.0918   -2.0247   -1.9915   -1.9902   -1.9787   -1.9315   -1.8953   -1.8465   -1.8099   -1.7466   -1.7367   -1.7014   -1.6851   -1.6491   -1.5880   -1.5216   -1.4313   -1.3753   -1.3242   -1.1685   -1.1250   -1.0959   -1.0721   -0.9706   -0.9160   -0.8713   -0.8396   -0.8230   -0.7691   -0.7514   -0.6491   -0.4068   -0.4051   -0.2695   -0.2605   -0.2502   -0.2218   -0.1987   -0.1928    0.3680    1.1074    1.4613    1.7074    1.8709    1.8970    1.9117    2.2684    2.3316    2.4992    2.6438    2.8310    2.8723    3.1308    3.1535    3.5102    3.5873    3.6974    3.7663    3.7802    3.9369    4.0417    4.1053    4.2154    4.2418    4.3836    4.3881    4.5635    4.5691    4.6516    4.7548    4.8780    4.9168    4.9324    5.3339    5.4079    5.4777    5.6434    5.7261    5.9028    6.0540    6.2088
